location,size,total_sqft,bath,price,bhk,price_per_sqft
1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017.543859649122
1st Block Jayanagar,3 BHK,1630.0,3.0,194.0,3,11901.840490797545
1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533.333333333334
1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
1st Block Jayanagar,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
1st Block Jayanagar,4 BHK,2750.0,4.0,413.0,4,15018.181818181818
1st Block Jayanagar,4 BHK,2450.0,4.0,368.0,4,15020.408163265307
1st Phase JP Nagar,4 BHK,2825.0,4.0,250.0,4,8849.557522123894
1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3,8906.666666666666
1st Phase JP Nagar,5 Bedroom,1500.0,5.0,85.0,5,5666.666666666667
1st Phase JP Nagar,3 BHK,2065.0,4.0,210.0,3,10169.49152542373
1st Phase JP Nagar,3 BHK,2024.0,3.0,157.0,3,7756.916996047431
1st Phase JP Nagar,3 BHK,2059.0,3.0,225.0,3,10927.634774162214
1st Phase JP Nagar,2 BHK,1394.0,2.0,100.0,2,7173.601147776184
1st Phase JP Nagar,2 BHK,1077.0,2.0,93.0,2,8635.097493036212
1st Phase JP Nagar,2 Bedroom,1566.0,2.0,180.0,2,11494.252873563219
1st Phase JP Nagar,1 BHK,840.0,2.0,50.0,1,5952.380952380952
1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
1st Phase JP Nagar,2 BHK,1180.0,2.0,88.5,2,7500.0
1st Phase JP Nagar,2 BHK,1200.0,2.0,86.0,2,7166.666666666667
1st Phase JP Nagar,2 BHK,1394.0,2.0,85.0,2,6097.5609756097565
1st Phase JP Nagar,3 BHK,2077.0,3.0,175.0,3,8425.613866153106
1st Phase JP Nagar,4 BHK,4550.0,2.0,240.0,4,5274.725274725275
1st Phase JP Nagar,2 BHK,1205.0,2.0,85.0,2,7053.941908713693
1st Phase JP Nagar,4 BHK,2615.0,5.0,222.0,4,8489.483747609942
1st Phase JP Nagar,2 BHK,900.0,2.0,75.0,2,8333.333333333334
2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500.0
2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,2 BHK,900.0,2.0,41.0,2,4555.555555555556
2nd Phase Judicial Layout,3 BHK,1681.0,3.0,69.0,3,4104.699583581201
2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
2nd Stage Nagarbhavi,4 Bedroom,1500.0,4.0,220.0,4,14666.666666666666
2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,200.0,4,14814.814814814816
2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750.0
2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,230.0,4,15333.333333333334
5th Block Hbr Layout,2 BHK,1206.0,2.0,56.0,2,4643.449419568822
5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3,5511.811023622047
5th Block Hbr Layout,2 BHK,1312.0,2.0,69.0,2,5259.1463414634145
5th Block Hbr Layout,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
5th Block Hbr Layout,5 Bedroom,3600.0,5.0,130.0,5,3611.1111111111113
5th Block Hbr Layout,6 BHK,5100.0,5.0,300.0,6,5882.35294117647
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
5th Phase JP Nagar,2 BHK,1207.0,2.0,63.0,2,5219.552609776305
5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797.101449275362
